Country,year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,total_RE_generated_TWh
Brazil,1965,0,0,0,25.52,25.52
Brazil,1966,0,0,0,27.91,27.91
Brazil,1967,0,0,0,29.19,29.19
Brazil,1968,0,0,0,30.55,30.55
Brazil,1969,0,0,0,32.69,32.69
Brazil,1970,0.51,0,0,39.8,40.32
Brazil,1971,0.63,0,0,43.2,43.83
Brazil,1972,0.72,0,0,50.68,51.40
Brazil,1973,0.75,0,0,57.89,58.64
Brazil,1974,0.79,0,0,65.68,66.46
Brazil,1975,0.87,0,0,72.29,73.15
Brazil,1976,0.86,0,0,82.91,83.78
Brazil,1977,1.12,0,0,93.48,94.60
Brazil,1978,1.33,0,0,102.75,104.08
Brazil,1979,1.78,0,0,116.58,118.36
Brazil,1980,1.81,0,0,128.91,130.71
Brazil,1981,1.87,0,0,130.77,132.64
Brazil,1982,2.18,0,0,141.13,143.31
Brazil,1983,2.98,0,0,151.48,154.46
Brazil,1984,2.85,0,0,166.59,169.44
Brazil,1985,3.07,0,0,178.38,181.44
Brazil,1986,3.19,0,0,182.42,185.61
Brazil,1987,3.57,0,0,185.6,189.17
Brazil,1988,3.34,0,0,199.09,202.43
Brazil,1989,3.4,0,0,204.69,208.09
Brazil,1990,3.86,0,0,206.71,210.57
Brazil,1991,4,0,0,217.78,221.78
Brazil,1992,4.93,0,0,223.34,228.27
Brazil,1993,4.98,0,0,235.07,240.05
Brazil,1994,5.39,0,0,242.71,248.09
Brazil,1995,5.59,0,0,253.91,259.50
Brazil,1996,6.75,0,0,265.77,272.52
Brazil,1997,7.38,0,0,278.97,286.35
Brazil,1998,7.51,0,0.01,291.47,298.98
Brazil,1999,8.38,0,0,293,301.38
Brazil,2000,7.86,0,0,304.4,312.26
Brazil,2001,8.99,0,0.03,267.88,276.90
Brazil,2002,10.23,0,0.06,286.09,296.38
Brazil,2003,11.89,0,0.06,305.62,317.57
Brazil,2004,12.48,0,0.06,320.8,333.33
Brazil,2005,13.59,0,0.09,337.46,351.14
Brazil,2006,14.85,0,0.24,348.81,363.89
Brazil,2007,18.06,0,0.66,374.02,392.74
Brazil,2008,19.79,0,1.18,369.56,390.53
Brazil,2009,22.88,0,1.24,390.99,415.10
Brazil,2010,31.94,0,2.18,403.29,437.41
Brazil,2011,32.63,0,2.7,428.33,463.67
Brazil,2012,35.77,0,5.05,415.34,456.16
Brazil,2013,40.97,0,6.58,390.99,438.54
Brazil,2014,47.08,0.02,12.21,373.44,432.74
Brazil,2015,49.88,0.06,21.63,359.74,431.31
Brazil,2016,51.33,0.09,33.49,380.91,465.82
Brazil,2017,52.91,0.83,42.37,370.91,467.02
Brazil,2018,54.38,3.46,48.48,388.97,495.29
Brazil,2019,54.92,6.65,55.99,397.88,515.44
Brazil,2020,58.74,10.75,57.05,396.38,522.92
Brazil,2021,54.96,16.75,72.29,362.82,506.82
