Country,year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,total_RE_generated_TWh
China,1965,0,0,0,22.1,22.1
China,1966,0,0,0,22.49,22.49
China,1967,0,0,0,19.38,19.38
China,1968,0,0,0,22.87,22.87
China,1969,0,0,0,23.26,23.26
China,1970,0,0,0,24.04,24.04
China,1971,0,0,0,29.08,29.08
China,1972,0,0,0,32.95,32.95
China,1973,0,0,0,36.83,36.83
China,1974,0,0,0,41.67,41.67
China,1975,0,0,0,43.61,43.61
China,1976,0,0,0,44.19,44.19
China,1977,0,0,0,46.13,46.13
China,1978,0,0,0,43.23,43.23
China,1979,0,0,0,48.56,48.56
China,1980,0,0,0,58.22,58.22
China,1981,0,0,0,65.51,65.51
China,1982,0,0,0,74.41,74.41
China,1983,0,0,0,86.42,86.42
China,1984,0,0,0,86.81,86.81
China,1985,0,0,0,92.39,92.39
China,1986,0,0,0,94.55,94.55
China,1987,0,0,0,100.02,100.02
China,1988,0,0,0,109.17,109.17
China,1989,0,0,0,118.41,118.41
China,1990,0.06,0,0,126.74,126.81
China,1991,0.06,0,0.01,124.69,124.76
China,1992,0.11,0,0.13,130.69,130.93
China,1993,0.12,0,0.21,151.85,152.18
China,1994,0.46,0.01,0.38,167.43,168.28
China,1995,3.01,0.01,0.62,190.58,194.22
China,1996,1.53,0.01,0.09,187.97,189.61
China,1997,2.72,0.01,0.2,195.98,198.91
China,1998,2.48,0.01,0.36,198.89,201.74
China,1999,2.52,0.02,0.47,196.58,199.59
China,2000,2.54,0.02,0.59,222.41,225.56
China,2001,2.55,0.03,0.72,277.43,280.73
China,2002,2.55,0.05,0.84,287.97,291.4
China,2003,2.54,0.06,1,283.68,287.28
China,2004,2.53,0.08,1.28,353.54,357.43
China,2005,5.32,0.08,1.95,397.02,404.37
China,2006,7.13,0.1,3.71,435.79,446.73
China,2007,9.86,0.11,5.48,485.26,500.72
China,2008,14.87,0.15,13.1,636.96,665.08
China,2009,20.86,0.28,27.61,615.64,664.4
China,2010,24.9,0.7,49.4,711.38,786.38
China,2011,27.63,2.61,74.1,688.05,792.39
China,2012,30.13,3.59,103.05,862.79,999.57
China,2013,37.13,8.37,138.26,909.61,1093.38
China,2014,46.27,23.51,159.76,1059.69,1289.23
China,2015,54.07,39.48,185.59,1114.52,1393.66
China,2016,62.13,66.53,240.86,1153.27,1522.79
China,2017,79.6,117.8,304.6,1165.07,1667.06
China,2018,93.73,176.9,365.8,1198.89,1835.31
China,2019,112.73,224,405.3,1272.54,2014.56
China,2020,135.63,261.1,466.5,1321.71,2184.93
China,2021,169.93,327,655.6,1300,2452.53
