Country,year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,total_RE_generated_TWh
India,1965,0,0,0,19.17,19.17
India,1966,0,0,0,20.02,20.02
India,1967,0,0,0,22.4,22.4
India,1968,0,0,0,25.85,25.85
India,1969,0,0,0,28.7,28.7
India,1970,0,0,0,30.44,30.44
India,1971,0,0,0,33.38,33.38
India,1972,0,0,0,32.4,32.4
India,1973,0,0,0,34.51,34.51
India,1974,0,0,0,33.2,33.2
India,1975,0,0,0,39.67,39.67
India,1976,0,0,0,41.5,41.5
India,1977,0,0,0,45.28,45.28
India,1978,0,0,0,56.17,56.17
India,1979,0,0,0,54.17,54.17
India,1980,0,0,0,55.44,55.44
India,1981,0,0,0,59.08,59.08
India,1982,0,0,0,49.86,49.86
India,1983,0,0,0,48.04,48.04
India,1984,0,0,0,53.68,53.68
India,1985,0,0,0,51.81,51.81
India,1986,0,0,0,52.57,52.57
India,1987,0,0,0,48.96,48.96
India,1988,0,0,0,54.61,54.61
India,1989,0,0,0,63.37,63.37
India,1990,0.04,0,0.03,66.4,66.46
India,1991,0.1,0,0.11,73.92,74.13
India,1992,0.12,0,0.09,70.06,70.27
India,1993,0.25,0,0.09,70.73,71.08
India,1994,0.38,0,0.19,80.21,80.78
India,1995,0.56,0,0.5,75.92,76.98
India,1996,0.76,0.01,0.88,69.06,70.7
India,1997,0.98,0.01,0.99,70.21,72.19
India,1998,1.29,0.01,1.08,83.63,86.01
India,1999,1.69,0.01,1.45,82.25,85.39
India,2000,1.69,0.01,1.58,76.99,80.27
India,2001,2.07,0.01,2.09,72.02,76.19
India,2002,2.14,0.01,2.09,68.54,72.78
India,2003,2.71,0.02,2.6,69.3,74.63
India,2004,3.31,0.02,5.23,100.64,109.19
India,2005,4.04,0.02,5.99,97.42,107.46
India,2006,5.59,0.01,9.34,112.62,127.55
India,2007,7.4,0.06,11.68,122.61,141.76
India,2008,9.3,0.06,14.38,115.17,138.91
India,2009,11.64,0.08,16.27,106.34,134.33
India,2010,14.3,0.11,19.46,108.74,142.61
India,2011,17.14,0.83,23.95,131.7,173.62
India,2012,19.94,2.1,27.43,115.78,165.24
India,2013,22.48,3.43,30.01,131.98,187.9
India,2014,24.68,4.91,33.45,139,202.04
India,2015,30.62,6.57,32.74,133.28,203.21
India,2016,24.82,11.56,43.45,128.38,208.21
India,2017,24.91,21.54,52.63,135.82,234.91
India,2018,27.22,36.33,60.31,139.75,263.62
India,2019,31.51,46.27,63.31,162.07,303.16
India,2020,32.94,58.68,60.43,163.71,315.76
India,2021,35.47,68.31,68.09,160.33,332.2
